Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Petrol,<1400 cc,Euro 0,37.046992,0,0.0008,40.36181183,43.75551376,46.84896469,49.06810608,42.73817978,44.62090988,120.6541183,94.77175293,94.77175293,56.31111374,51.1289566,47.19853668,58.7993042,57.86669693,53.4233551,120.6541183,120.6541183,100.5538269,73.56833801,58.50286026,53.9178688,73.61345978,64.7206131,66.82905502,120.6541183,120.6541183,120.6541183,45.01867065,46.95972977,53.50264206,44.09228363,46.68273163,49.18827972,94.77175293,94.77175293,94.77175293
Petrol,<1400 cc,Euro 1,37.046992,0,0.0002,38.99217987,42.28718262,45.2942688,47.38977966,41.2904686,43.12431107,115.7506088,90.93678436,90.93678436,54.25700302,49.32147446,45.59109421,56.57964783,55.73732758,51.51970444,115.7506088,115.7506088,96.46722717,70.72231293,56.29297409,51.95697327,70.7221283,62.21054153,64.27995911,115.7506088,115.7506088,115.7506088,43.53257141,45.41744995,51.74547653,42.62230377,45.14162827,47.57280579,90.93678436,90.93678436,90.93678436
Petrol,<1400 cc,Euro 2,37.046992,0,0.0007,36.77699814,39.90041885,42.75429764,44.6849678,38.9471489,40.69101944,108.4079269,85.18407288,85.18407288,51.038871,46.45079727,42.99552002,53.15270462,52.4138031,48.50679321,108.4079269,108.4079269,90.34778137,66.37328415,52.88204803,48.88088531,66.33163757,58.37892075,60.36158066,108.4079269,108.4079269,108.4079269,41.09882202,42.88580322,48.86109619,40.22575989,42.61786499,44.92101669,85.18407288,85.18407288,85.18407288
Petrol,<1400 cc,Euro 3,37.046992,0,0.0062,35.02913666,38.01903534,40.75415726,42.54925003,37.09846802,38.77305984,102.5219925,80.57436371,80.57436371,48.48330536,44.17745514,40.94684601,50.42313461,49.77251511,46.11913452,102.5219925,102.5219925,85.44241028,62.90187378,50.1650795,46.43876038,62.82252045,55.3198349,57.23775406,102.5219925,102.5219925,102.5219925,39.18323975,40.89407501,46.59186249,38.33777847,40.63141785,42.83476715,80.57436371,80.57436371,80.57436371
Petrol,<1400 cc,Euro 4,37.046992,0,0.0274,33.50649414,36.38077393,39.01321793,40.68817139,35.48810425,37.1029686,97.36047363,76.53264008,76.53264008,46.25101166,42.19399719,39.16190414,48.03584518,47.46460114,44.0353241,97.36047363,97.36047363,81.14077301,59.86307983,47.78876343,44.30579834,59.74903717,52.64173431,54.50462646,97.36047363,97.36047363,97.36047363,37.51623535,39.16114044,44.61747894,36.6941803,38.90274277,41.01959915,76.53264008,76.53264008,76.53264008
Petrol,<1400 cc,Euro 5,37.046992,0.0003,0.0938,32.25812912,35.03920441,37.58924484,39.16106796,34.16806946,35.73541107,93.05109406,73.15958252,73.15958252,44.40709076,40.56087723,37.6979393,46.05707245,45.55653,42.31816711,93.05109406,93.05109406,77.5493103,57.33813782,45.81895447,42.54447174,57.19146194,50.41594696,52.23683929,93.05109406,93.05109406,93.05109406,36.15350418,37.74529495,43.00435638,35.34916611,37.4895874,39.53655319,73.15958252,73.15958252,73.15958252
Petrol,<1400 cc,Euro 6,37.046992,0.0017,0.1782,30.9180027,33.5902153,36.04186172,37.52879868,32.74964142,34.25794449,88.8574234,69.86939392,69.86939392,42.50419388,38.84645081,36.12947083,44.05275726,43.59677277,40.52332001,88.8574234,88.8574234,74.05428925,54.8144249,43.82441101,40.72381744,54.65610046,48.19428024,49.95270615,88.8574234,88.8574234,88.8574234,34.66839294,36.1979805,41.24145355,33.89126282,35.94956818,37.91580811,69.86939392,69.86939392,69.86939392
Petrol,1400-2000 cc,Euro 0,37.046992,0,0.0012,54.70564575,59.30540085,63.49820786,66.50599976,57.92652893,60.47834854,163.5323334,128.4518585,128.4518585,76.32303162,69.29923553,63.97201385,79.69548035,78.43144531,72.40901642,163.5323334,163.5323334,136.2887985,99.71316223,79.29367981,73.07927246,99.7743103,87.72111359,90.57885132,163.5323334,163.5323334,163.5323334,61.0174675,63.64833908,72.5164917,59.76185913,63.27289734,66.66887054,128.4518585,128.4518585,128.4518585
Petrol,1400-2000 cc,Euro 1,37.046992,0,0.0008,49.52602768,53.71118317,57.5306366,60.19226151,52.44520493,54.77446136,147.0209595,115.5036179,115.5036179,68.91467743,62.64580917,57.90765762,71.86479187,70.79491577,65.4378952,147.0209595,147.0209595,122.5281067,89.82814789,71.50067139,65.99328842,89.82790985,79.01689148,81.64536896,147.0209595,147.0209595,147.0209595,55.29301376,57.68709869,65.72466125,54.13683624,57.33676376,60.4247345,115.5036179,115.5036179,115.5036179
Petrol,1400-2000 cc,Euro 2,37.046992,0,0.0044,46.50216141,50.45151825,54.06006699,56.5012764,49.24617996,51.4511879,137.0748749,107.7098053,107.7098053,64.53538132,58.73405685,54.36508026,67.20819321,66.27389297,61.33372955,137.0748749,137.0748749,114.2389832,83.92477112,66.86595764,61.80674667,83.87210846,73.81640778,76.3233551,137.0748749,137.0748749,137.0748749,51.9668335,54.22635345,61.78172684,50.86289673,53.88756104,56.79974899,107.7098053,107.7098053,107.7098053
Petrol,1400-2000 cc,Euro 3,37.046992,0,0.0305,43.67471237,47.40255508,50.81272659,53.05087433,46.25477905,48.34267273,127.8255463,100.4610153,100.4610153,60.44951324,55.08093948,51.05297241,62.86811829,62.05691376,57.50184784,127.8255463,127.8255463,106.5305344,78.42675018,62.54637146,57.90036011,78.32781219,68.97338181,71.36466064,127.8255463,127.8255463,127.8255463,48.8540947,50.98718414,58.09124451,47.79996643,50.65970154,53.40686035,100.4610153,100.4610153,100.4610153
Petrol,1400-2000 cc,Euro 4,37.046992,0.0003,0.1194,40.45851364,43.9291626,47.10778809,49.1302681,42.85127945,44.80120316,117.5611008,92.41184845,92.41184845,55.84730759,50.94853287,47.28732758,58.00246277,57.31269226,53.17190247,117.5611008,117.5611008,97.97609711,72.28364258,57.70411301,53.49849396,72.14592896,63.56399231,65.81339951,117.5611008,117.5611008,117.5611008,45.30021133,47.28641129,53.87484283,44.30759277,46.97439499,49.53046036,92.41184845,92.41184845,92.41184845
Petrol,1400-2000 cc,Euro 5,37.046992,0.0021,0.1499,38.86808395,42.21902695,45.29159698,47.18550034,41.16939316,43.05789185,112.1180359,88.15059357,88.15059357,53.50647278,48.8721405,45.42255783,55.49455109,54.89143524,50.98951797,112.1180359,112.1180359,93.43980713,69.08720245,55.20763779,51.26218567,68.910466,60.746595,62.94059906,112.1180359,112.1180359,112.1180359,43.56165695,45.47961349,51.8163063,42.59250488,45.17152176,47.63792191,88.15059357,88.15059357,88.15059357
Petrol,1400-2000 cc,Euro 6,37.046992,0.1104,0.2328,36.89634628,40.08525772,43.01095886,44.78541107,39.08215027,40.88210068,106.0390152,83.37942505,83.37942505,50.72285538,46.35784836,43.11550903,52.57085114,52.0266922,48.35895462,106.0390152,106.0390152,88.37351837,65.41341248,52.2983551,48.59822769,65.22447281,57.51318588,59.61162338,106.0390152,106.0390152,106.0390152,41.37191772,43.19726334,49.2159523,40.44451904,42.90082245,45.24725876,83.37942505,83.37942505,83.37942505
Petrol,>2000 cc,Euro 0,37.046992,0,0.0013,67.99832764,73.71575012,78.92735138,82.66598358,72.00183868,75.17371216,203.2683167,159.6638092,159.6638092,94.86842499,86.13794403,79.51628571,99.06032104,97.48914032,90.00335541,203.2683167,203.2683167,169.4049652,123.942009,98.56089478,90.83646851,124.0180176,109.0360611,112.5881943,203.2683167,203.2683167,203.2683167,75.84382324,79.11396179,90.13693542,74.28312073,78.64729462,82.86844025,159.6638092,159.6638092,159.6638092
Petrol,>2000 cc,Euro 1,37.046992,0,0.0005,65.69087753,71.24203491,76.30812683,79.83847198,69.5628479,72.65235748,195.0072845,153.2029663,153.2029663,91.40782166,83.09284058,76.8081955,95.32082367,93.90173798,86.79623413,195.0072845,195.0072845,162.5201935,119.1472443,94.83786469,87.53291473,119.1469406,104.8073059,108.2936874,195.0072845,195.0072845,195.0072845,73.34016571,76.51565399,87.17660217,71.80661926,76.05097351,80.14683228,153.2029663,153.2029663,153.2029663
Petrol,>2000 cc,Euro 2,37.046992,0,0.0011,61.9589241,67.22099609,72.02898712,75.28162384,65.61500626,68.55294189,182.6369141,143.5112366,143.5112366,85.98616638,78.2565506,72.43538208,89.54737854,88.30254059,81.72032623,182.6369141,182.6369141,152.2106415,111.8203506,89.09140472,82.35056305,111.7501862,98.3520813,101.6923187,182.6369141,182.6369141,182.6369141,69.2399765,72.25053406,82.31723022,67.76911163,71.79913635,75.67930908,143.5112366,143.5112366,143.5112366
Petrol,>2000 cc,Euro 3,37.046992,0,0.0031,58.76040344,63.77588196,68.36396484,71.37518463,62.23165207,65.04072647,171.9777924,135.1612808,135.1612808,81.32938995,74.1064621,68.6871994,84.58340149,83.49201355,77.36357574,171.9777924,171.9777924,143.3272766,105.516153,84.15053558,77.89973602,105.3830276,92.79748993,96.01474915,171.9777924,171.9777924,171.9777924,65.72880249,68.59867096,78.1565506,64.31055756,68.15806885,71.85413361,135.1612808,135.1612808,135.1612808
Petrol,>2000 cc,Euro 4,37.046992,0,0.0157,57.02638779,61.9182785,66.39855652,69.24925232,60.39899445,63.14741516,165.7026794,130.2547607,130.2547607,78.71692505,71.81208954,66.65161743,81.75462952,80.78239746,74.94594574,165.7026794,165.7026794,138.0975769,101.8839935,81.33410645,75.40627594,101.6899002,89.59361572,92.76416626,165.7026794,165.7026794,165.7026794,63.85077209,66.65033112,75.93674011,62.4516716,66.2105423,69.81332092,130.2547607,130.2547607,130.2547607
Petrol,>2000 cc,Euro 5,37.046992,0,0.0145,55.12059555,59.87271347,64.2300621,66.91589203,58.38418503,61.06235046,158.9996735,125.010347,125.010347,75.87995758,69.30779419,64.41579208,78.69933319,77.84402771,72.31053314,158.9996735,158.9996735,132.5112274,97.97569122,78.29245605,72.69723053,97.72505646,86.14749451,89.25891266,158.9996735,158.9996735,158.9996735,61.77675858,64.49670486,73.48304901,60.40235901,64.05977402,67.55749512,125.010347,125.010347,125.010347
Petrol,>2000 cc,Euro 6,37.046992,0.0175,0.0225,53.41084137,58.02708817,62.26230392,64.83099594,56.57499237,59.18058472,153.5011841,120.6993607,120.6993607,73.42598572,67.10723419,62.41364975,76.10112,75.31340332,70.00402222,153.5011841,153.5011841,127.9287689,94.69190369,75.70666046,70.35037842,94.41839905,83.25560913,86.29328766,153.5011841,153.5011841,153.5011841,59.88963928,62.53199768,71.24460144,58.54715195,62.10286942,65.49955292,120.6993607,120.6993607,120.6993607
Diesel,<1400 cc,Euro 0,21.727459,0,0,46.77949905,48.92128296,53.50106812,56.49502869,47.91257095,51.08716812,122.4714203,96.986409,96.986409,64.16379013,58.31365738,53.48368225,66.65155411,65.64235535,59.08297043,122.4714203,122.4714203,116.3427887,90.89887695,69.16501312,61.86989441,87.34276276,73.85266724,74.32699127,122.4714203,122.4714203,122.4714203,50.89758606,52.04954834,57.30046158,51.77746429,51.79721603,54.92334061,96.986409,96.986409,96.986409
Diesel,<1400 cc,Euro 1,21.727459,0,0,22.56563263,23.6043438,25.82006531,27.24762306,23.11307335,24.6496418,58.95694199,46.69110031,46.69110031,30.92520523,28.11424751,25.79762459,32.11279488,31.63504562,28.48300095,58.95694199,58.95694199,56.00665588,43.78345184,33.32355728,29.82055931,42.0633049,35.5717598,35.80685425,58.95694199,58.95694199,58.95694199,24.56626358,25.12489052,27.65956421,24.985849,25.00045815,26.51210136,46.69110031,46.69110031,46.69110031
Diesel,<1400 cc,Euro 2,21.727459,0,0,20.67528267,21.63208847,23.66817589,24.96081238,21.17766151,22.59028778,53.9066124,42.69376602,42.69376602,28.31036797,25.74504585,23.63469734,29.38701515,28.95762482,26.08074837,53.9066124,53.9066124,51.2090538,40.05623627,30.49479103,27.29999809,38.47583618,32.54266701,32.76385117,53.9066124,53.9066124,53.9066124,22.521315,23.035849,25.3597744,22.90129395,22.91934776,24.30772095,42.69376602,42.69376602,42.69376602
Diesel,<1400 cc,Euro 3,21.727459,0,0,22.57453766,23.62483406,25.85451851,27.24909363,23.12394066,24.67156677,58.73642426,46.52146454,46.52146454,30.88447685,28.09463081,25.80380478,32.04746628,31.58777122,28.45880661,58.73642426,58.73642426,55.79717484,43.67073288,33.25530319,29.78319931,41.94038773,35.47815323,35.72599869,58.73642426,58.73642426,58.73642426,24.60439415,25.16915398,27.70829277,25.01439095,25.03921814,26.55881042,46.52146454,46.52146454,46.52146454
Diesel,<1400 cc,Euro 4,21.727459,0,0,26.45969734,27.69733429,30.31847,31.93328743,27.10468216,28.92482071,68.7015152,54.4171524,54.4171524,36.16860962,32.91172485,30.24237289,37.51698914,36.98892822,33.33578644,68.7015152,68.7015152,65.26360245,51.11002045,38.93069153,34.88004074,49.07626801,41.52064514,41.81859818,68.7015152,68.7015152,68.7015152,28.85565414,29.5210968,32.49927063,29.33046341,29.36558418,31.15103531,54.4171524,54.4171524,54.4171524
Diesel,<1400 cc,Euro 5,21.727459,0.0021,0.0005,25.17502136,26.35885658,28.86009407,30.37763214,25.78967438,27.52732353,65.22873764,51.66926498,51.66926498,34.38276291,31.29650764,28.7717907,35.65156479,35.15941162,31.69732437,65.22873764,65.22873764,61.96460571,48.55537567,36.9947197,33.15890045,46.61500702,39.44415741,39.73476563,65.22873764,65.22873764,65.22873764,27.47065201,28.10711136,30.9426403,27.91691589,27.95607986,29.6589798,51.66926498,51.66926498,51.66926498
Diesel,<1400 cc,Euro 6,21.727459,0.0036,0.0003,24.0912693,25.22715836,27.62425385,29.06740608,24.67993202,26.34560051,62.35491028,49.39419861,49.39419861,32.88833618,29.94094238,27.53212013,34.09575577,33.62970734,30.32322731,62.35491028,62.35491028,59.23458633,46.43003311,35.38016434,31.71818581,44.57062378,37.71707687,37.99859161,62.35491028,62.35491028,62.35491028,26.29575233,26.90640945,29.62080803,26.72017212,26.76040802,28.39198418,49.39419861,49.39419861,49.39419861
Diesel,1400-2000 cc,Euro 0,21.727459,0,0,40.59655914,42.45525589,46.42972412,49.02796478,41.57987061,44.33487473,106.2841278,84.16751709,84.16751709,55.68313217,50.60622482,46.4146347,57.84207916,56.9662674,51.27385788,106.2841278,106.2841278,100.9655243,78.8845932,60.02333221,53.69242554,75.79849091,64.09141541,64.50303955,106.2841278,106.2841278,106.2841278,44.1703476,45.1700531,49.72694473,44.93392792,44.95107651,47.66401443,84.16751709,84.16751709,84.16751709
Diesel,1400-2000 cc,Euro 1,21.727459,0,0,39.23835449,41.04452515,44.89733887,47.37965698,40.19027557,42.86214294,102.5175552,81.18904114,81.18904114,53.77443924,48.88659363,44.85832214,55.83948746,55.00874634,49.52780304,102.5175552,102.5175552,97.38744049,76.13305817,57.94482269,51.85362091,73.14197693,61.8541214,62.26292191,102.5175552,102.5175552,102.5175552,42.71715775,43.68853226,48.09596252,43.44676208,43.47216568,46.10068893,81.18904114,81.18904114,81.18904114
Diesel,1400-2000 cc,Euro 2,21.727459,0,0.0001,35.95131454,37.61506424,41.15552673,43.40323334,36.82488327,39.28123169,93.73577881,74.23827057,74.23827057,49.2276207,44.76689758,41.09730835,51.09975586,50.35310669,45.35063934,93.73577881,93.73577881,89.04511719,69.65198822,53.02602081,47.47073517,66.90390472,56.58697891,56.9715889,93.73577881,93.73577881,93.73577881,39.16129913,40.05599976,44.09696732,39.82203217,39.85342255,42.26759872,74.23827057,74.23827057,74.23827057
Diesel,1400-2000 cc,Euro 3,21.727459,0,0.0016,33.97077713,35.5512886,38.90657883,41.00517044,34.79753265,37.12644424,88.38815918,70.00675964,70.00675964,46.47579422,42.27756577,38.83026657,48.22589798,47.53413773,42.82558365,88.38815918,88.38815918,83.96509552,65.71690292,50.04348145,44.81856308,63.11303253,53.38849106,53.76144943,88.38815918,88.38815918,88.38815918,37.02535858,37.87522583,41.69619064,37.64233246,37.67969589,39.96641998,70.00675964,70.00675964,70.00675964
Diesel,1400-2000 cc,Euro 4,21.727459,0.0013,0.0065,34.45568466,36.06733093,39.48055725,41.58336792,35.29558258,37.66575928,89.46278076,70.86175079,70.86175079,47.09858627,42.8574791,39.38147049,48.85443573,48.1667984,43.40970001,89.46278076,89.46278076,84.98593903,66.55522003,50.69535675,45.42062073,63.90687485,54.06797714,54.4559761,89.46278076,89.46278076,89.46278076,37.57569046,38.44222794,42.32039337,38.19398575,38.23971786,40.56472321,70.86175079,70.86175079,70.86175079
Diesel,1400-2000 cc,Euro 5,21.727459,0.0607,0.0078,32.93194504,34.48054352,37.75246124,39.73758087,33.73598022,36.00903397,85.3269989,67.58958588,67.58958588,44.97676926,40.93957825,37.63694534,46.63652344,45.99271851,41.46389618,85.3269989,85.3269989,81.0571228,63.51624527,48.39352188,43.37580948,60.97801437,51.59768524,51.97783661,85.3269989,85.3269989,85.3269989,35.93490295,36.76746826,40.47667923,36.51867371,36.56989975,38.79749756,67.58958588,67.58958588,67.58958588
